大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0112,3OT1P10K66K2,"¥1,507,000","¥449,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0122,3OT1P20K66K2,"¥1,765,000","¥526,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0132,3OT1P30K66K2,"¥2,004,000","¥598,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0152,3OT1P50K66K2,"¥2,458,000","¥733,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0172,3OT1P75K66K2,"¥3,045,000","¥908,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0103,3OT1P100K66K2,"¥3,675,000","¥1,096,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0112,3OT1P150K66K2,"¥4,916,000","¥1,467,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0122,3OT1P200K66K2,"¥6,080,000","¥1,814,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1434-0132,3OT1P300K66K2,"¥8,469,000","¥2,528,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1434-0152,3OT1P500K66K2,"¥13,890,000","¥4,146,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0321,3OT3P20K66K2,"¥2,178,000","¥650,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0331,3OT3P30K66K2,"¥2,395,000","¥714,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0351,3OT3P50K66K2,"¥2,875,000","¥858,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0372,3OT3P75K66K2,"¥3,438,000","¥1,026,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0302,3OT3P100K66K2,"¥4,046,000","¥1,207,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0311,3OT3P150K66K2,"¥5,216,000","¥1,556,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0322,3OT3P200K66K2,"¥6,344,000","¥1,893,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1434-0332,3OT3P300K66K2,"¥9,324,000","¥2,783,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1434-0352,3OT3P500K66K2,"¥14,852,000","¥4,433,200"
