大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0112,3OT1P10K66K2,1507000 ,449600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0122,3OT1P20K66K2,1765000 ,526800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0132,3OT1P30K66K2,2004000 ,598000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS6K(3ﾀｯﾌﾟ),210-105,単三専用,無,1432-0152,3OT1P50K66K2,2458000 ,733600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0172,3OT1P75K66K2,3045000 ,908800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0103,3OT1P100K66K2,3675000 ,1096800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0112,3OT1P150K66K2,4916000 ,1467200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1433-0122,3OT1P200K66K2,6080000 ,1814800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1434-0132,3OT1P300K66K2,8469000 ,2528000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,無,1434-0152,3OT1P500K66K2,13890000 ,4146000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0321,3OT3P20K66K2,2178000 ,650000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0331,3OT3P30K66K2,2395000 ,714800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6K(3ﾀｯﾌﾟ),210,Y/Y,無,1432-0351,3OT3P50K66K2,2875000 ,858000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0372,3OT3P75K66K2,3438000 ,1026000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0302,3OT3P100K66K2,4046000 ,1207600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0311,3OT3P150K66K2,5216000 ,1556800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1433-0322,3OT3P200K66K2,6344000 ,1893600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1434-0332,3OT3P300K66K2,9324000 ,2783200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,無,1434-0352,3OT3P500K66K2,14852000 ,4433200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,無,1434-0372,3OT3P750K66K2,19045000 ,5684800 
